Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
1.46666700	171.675807971468	139.711866338684	154.084957099840	173.280037133510	178.115689335141	132.899581256420	139.381933858575	155.099663652520	168.015184208251	176.005120478492	133.617510425997	146.274546774807
1.50000000	171.659454989789	139.721877777151	156.165945561582	173.184141859686	178.121134274282	132.907395808566	141.948781618735	155.997701062153	165.724319909381	175.979081877263	133.656894502872	148.856975671445
1.53333300	171.445674282176	139.735853655183	156.976873395868	171.990048749798	178.137653036709	132.985914765849	143.832067053983	155.189065413592	164.614012136571	175.920957275206	133.658740621558	150.958810538387
1.56666700	171.438594180460	139.734401550802	156.951334623733	171.334719418627	178.215818885361	132.987473690127	145.131984249149	152.236075244988	161.916944717125	175.917386349918	133.655348174244	152.591474392749
1.60000000	171.414401312820	139.656557075261	157.560171650994	169.897036544902	178.171850619564	133.084739658512	147.341750428315	154.660708308783	162.073130077427	175.967537731786	133.708432274939	154.186209871749
1.63333300	171.439833433401	139.613204565428	157.676580867038	168.626791978558	178.200606335331	133.090060246727	149.077877620570	155.543421657614	161.415413099465	175.975601460351	133.680572972465	155.955288861198
1.66666700	171.420147070387	139.551822668373	159.025843554145	167.439858213185	178.275434220056	133.075958403745	150.869580680511	155.472215285918	160.276426667743	175.961016571040	133.636005850617	157.347128741363
1.70000000	171.480758683108	139.500459772124	159.300134192704	166.566031266088	178.350772318578	133.074201391876	152.135770147364	157.539134815580	159.096495152584	175.922226569667	133.661388401539	158.817724832464
1.73333300	171.444961441650	139.414303833348	161.266508119387	163.896262770547	178.404543452184	133.014479703420	155.507465197408	154.887428081516	157.555066058596	175.884798413604	133.517599641163	160.595402231476
1.76666700	171.543390963093	139.389875679214	161.546387810799	163.132822972210	178.571796242991	133.093354727015	156.506860343553	156.307234648783	155.605439447043	175.858211925458	133.535600821281	162.625149302054
