HipCenter-X	HipCenter-Y	HipCenter-Z	Spine-X	Spine-Y	Spine-Z	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X	Head-Y	Head-Z	ShoulderLeft-X	ShoulderLeft-Y	ShoulderLeft-Z	ElbowLeft-X	ElbowLeft-Y	ElbowLeft-Z	WristLeft-X	WristLeft-Y	WristLeft-Z	ShoulderRight-X	ShoulderRight-Y	ShoulderRight-Z	ElbowRight-X	ElbowRight-Y	ElbowRight-Z	WristRight-X	WristRight-Y	WristRight-Z	HipLeft-X	HipLeft-Y	HipLeft-Z	KneeLeft-X	KneeLeft-Y	KneeLeft-Z	AnkleLeft-X	AnkleLeft-Y	AnkleLeft-Z	HipRight-X	HipRight-Y	HipRight-Z	KneeRight-X	KneeRight-Y	KneeRight-Z	AnkleRight-X	AnkleRight-Y	AnkleRight-Z	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft	Position	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous
																																																												class	meta
0.00527799	-0.05826098	-0.05289388	0.0	0.0	0.0	-0.00676331	0.3341673	-0.00757718	-0.00330898	0.5143231	-0.02819133	-0.1889301	0.2575198	0.00136161	-0.4261734	0.2626689	-0.01068091	-0.6399826	0.2801681	-0.04604626	0.1905387	0.2728873	0.03020287	0.4254262	0.2647063	0.04969597	0.634796	0.2865137	0.08480883	-0.07532283	-0.1441815	-0.07677794	-0.0801663	-0.7162272	-0.04585481	-0.04710887	-1.080323	-0.06697178	0.09105839	-0.1430614	-0.05380344	0.06404813	-0.7155902	-0.03307056	0.03351827	-1.083151	-0.05272841	174.307872769	136.4305469	170.811987345	163.868764243	174.483880242	131.913670578	175.681322041	172.696771912	155.327223454	171.449709542	135.125891234	176.16513686	C3	0.6
0.00528661	-0.05823667	-0.05278492	0.0	0.0	0.0	-0.00688076	0.3332608	-0.00851584	-0.00277771	0.513529	-0.02775168	-0.1878592	0.2576561	0.00156164	-0.4251057	0.2628264	-0.01042008	-0.6388721	0.2803221	-0.0461309	0.191201	0.2728348	0.03034949	0.4254867	0.2655544	0.04949641	0.6357405	0.28705	0.08550763	-0.0753466	-0.1439645	-0.07658601	-0.07816772	-0.7153993	-0.04530621	-0.04621034	-1.08064	-0.06830764	0.09097318	-0.1430037	-0.05354452	0.06483823	-0.7115983	-0.03413939	0.0347103	-1.083134	-0.05262709	174.751071942	136.314315442	170.940311618	163.820859164	174.805992015	132.01160468	175.926220408	172.605059845	155.388010118	171.451339793	134.85912269	176.180105597	C3	0.6333333
0.00528952	-0.0582972	-0.05273557	0.0	0.0	0.0	-0.00687303	0.3333541	-0.00876999	-0.00354505	0.5142006	-0.02778888	-0.1883181	0.2578057	0.00167465	-0.4259121	0.2631237	-0.01053214	-0.6403515	0.2807202	-0.04572701	0.1905983	0.2731754	0.03028321	0.4235825	0.2644578	0.0501399	0.635307	0.2876323	0.08578229	-0.07508578	-0.1442652	-0.07635546	-0.07810328	-0.7155017	-0.04530334	-0.0466047	-1.080536	-0.06847692	0.09080949	-0.1428576	-0.05352569	0.06473797	-0.7141669	-0.03427315	0.0344075	-1.086715	-0.05369091	174.981514572	136.327121484	170.476595593	164.216619043	174.690244173	132.016468291	175.514396905	172.803260063	155.385255483	171.475496987	135.07014067	176.148938464	C3	0.6666667
0.00539303	-0.05819213	-0.05277228	0.0	0.0	0.0	-0.00784499	0.3333422	-0.00833845	-0.00341184	0.5146228	-0.02785206	-0.188116	0.2580155	0.00182772	-0.4267036	0.2644601	-0.00975275	-0.6416261	0.2807002	-0.04595184	0.1907673	0.2735303	0.03042197	0.4254601	0.2660154	0.05062962	0.6353302	0.2880787	0.08608007	-0.07492891	-0.1441207	-0.07654428	-0.07818112	-0.7155465	-0.04522276	-0.04642308	-1.080228	-0.06838202	0.0910621	-0.1427759	-0.05350184	0.06505575	-0.7138535	-0.03432178	0.03521933	-1.085197	-0.05273223	174.550313881	136.339415719	170.960842159	164.169262457	174.850938281	131.981733306	175.790789871	172.703346571	155.110466792	171.412084156	135.067336837	175.823323758	C3	0.7
0.00531294	-0.05820742	-0.05281138	0.0	0.0	0.0	-0.007034	0.3339341	-0.00799441	-0.00365537	0.5146347	-0.02819943	-0.1883796	0.2578723	0.00175595	-0.4267537	0.2643165	-0.01002789	-0.6405624	0.2797255	-0.04665208	0.1904952	0.2735518	0.03031778	0.4251095	0.2660007	0.05036831	0.6347449	0.2881566	0.08602262	-0.07512916	-0.1441623	-0.07667184	-0.07813814	-0.7158064	-0.0453155	-0.04672248	-1.080182	-0.06868505	0.09096406	-0.1427722	-0.05356312	0.06533255	-0.714498	-0.03447032	0.0352715	-1.083543	-0.05301476	174.50092864	136.378894037	170.874597647	163.969695325	174.785240282	132.021576362	175.761169835	172.673078624	155.054370161	171.427001933	135.002634341	175.819213	C3	0.7333333
0.00535391	-0.0581806	-0.05280638	0.0	0.0	0.0	-0.00687331	0.3337136	-0.00796723	-0.00373298	0.5149004	-0.02803588	-0.1883143	0.2578296	0.00169087	-0.4267514	0.2643337	-0.01013327	-0.6405255	0.2794113	-0.04722309	0.1903481	0.2735244	0.03060651	0.4250983	0.2658957	0.05028534	0.6350507	0.2882183	0.08617234	-0.07509972	-0.1441378	-0.07672524	-0.0778266	-0.7131557	-0.04554844	-0.0469045	-1.079794	-0.06891108	0.09101663	-0.1426924	-0.05339193	0.06426395	-0.7115996	-0.03516173	0.03536371	-1.081809	-0.05331945	174.594363495	136.368926418	170.756160921	163.946524137	175.040304419	131.881263533	175.757309699	172.599835579	155.101816409	171.529113582	134.967858215	175.786234454	C3	0.7666667
0.00523572	-0.05806564	-0.05286503	0.0	0.0	0.0	-0.00583189	0.3333374	-0.00744748	-0.00372625	0.5153891	-0.02802587	-0.1888396	0.2580063	0.0016036	-0.4263395	0.2641838	-0.00959945	-0.6400853	0.2785165	-0.04733014	0.1899411	0.2736523	0.03050852	0.4247594	0.2664978	0.05008698	0.6345297	0.2883728	0.08607674	-0.07531962	-0.14405	-0.07705522	-0.07818213	-0.7131454	-0.04574347	-0.04667936	-1.079651	-0.06932282	0.09083147	-0.142682	-0.05323863	0.06384399	-0.7112259	-0.03550887	0.03513304	-1.081517	-0.0533638	174.570820203	136.358450248	170.91728338	163.875496413	175.149998308	131.920011695	175.882685308	172.347536214	155.559524176	171.427583044	134.917350946	175.809219065	C3	0.8
0.00528811	-0.05810684	-0.05285454	0.0	0.0	0.0	-0.00630033	0.3335865	-0.00759888	-0.00374166	0.5142112	-0.02754569	-0.1885884	0.2579589	0.00144744	-0.4264272	0.2641166	-0.0096941	-0.6400515	0.278027	-0.04863667	0.1901164	0.2735302	0.03035975	0.4255863	0.2667568	0.05004001	0.634448	0.2883295	0.08593059	-0.07529498	-0.1440201	-0.07694054	-0.07815977	-0.712797	-0.04599333	-0.04695855	-1.079593	-0.06905723	0.09099142	-0.1427143	-0.05330729	0.0645101	-0.710236	-0.03557992	0.03492616	-1.080462	-0.05379081	174.658461886	136.363882843	171.042956306	163.758101995	175.029658394	131.925334747	175.989170823	172.053004535	155.413693041	171.551254218	134.910920399	175.817170228	C3	0.8333333
0.00534771	-0.05813716	-0.05281878	0.0	0.0	0.0	-0.00674154	0.3336956	-0.00788784	-0.00360441	0.5140111	-0.02766752	-0.1884413	0.2577964	0.00139856	-0.4260755	0.2640398	-0.00837517	-0.6393639	0.2771176	-0.05030656	0.1903153	0.2734109	0.03043914	0.4253977	0.2660762	0.049932	0.6343393	0.2879121	0.08554149	-0.07518786	-0.1440656	-0.07684612	-0.07864113	-0.7137058	-0.04603648	-0.04705868	-1.080251	-0.06894064	0.0911137	-0.1427541	-0.05328298	0.06380877	-0.7103976	-0.03572845	0.03446181	-1.082819	-0.05475974	174.644774906	136.352933015	170.890923268	163.843230403	174.997872251	131.825664037	175.849972393	171.029478841	155.308966521	171.509206966	135.000133005	175.641482701	C3	0.8666667
0.00513902	-0.0580579	-0.05282426	0.0	0.0	0.0	-0.00621019	0.333539	-0.00787807	-0.00365086	0.513932	-0.02842093	-0.1880242	0.2574681	0.00130844	-0.4255683	0.2636149	-0.00921202	-0.6389151	0.2770456	-0.0504899	0.1907617	0.2731772	0.03033495	0.4255955	0.2658044	0.04965186	0.6345136	0.2872951	0.08549643	-0.07585575	-0.1437773	-0.07672954	-0.07827878	-0.7141967	-0.04602647	-0.04657311	-1.080366	-0.06925344	0.09067878	-0.1427208	-0.05352855	0.06422145	-0.711517	-0.03568935	0.03488769	-1.083129	-0.05489135	174.525782754	136.311552165	170.903759687	163.823614389	174.908896549	132.001294264	175.82758406	171.346476499	155.268032562	171.527868016	134.709113379	175.731583028	C3	0.9
